track_id,track_name,popularity,duration_ms,explicit,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_names
7LHst9Pz8MyJQnGHtdhusS,Proper Education - Radio Edit,0,200640,False,Proper Education,2006-12-29,single,0.531,0.928,0,-4.569,1,0.0517,0.000878,0.00661,0.0825,0.351,124.936,4,"Eric Prydz, Floyd"
0815caqt2Lytro5EIzMufT,You And Me,73,195493,False,Lifehouse,2005-03-22,album,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,3,Lifehouse
3yRU3n7e2Z3k83EAFY5D0n,I've Got You - New Album Version/New Radio Edit (Ric Wake Version),24,230013,False,Mended,2002-11-20,album,0.646,0.87,10,-6.254,0,0.0564,0.0034,0.0,0.114,0.66,101.981,4,Marc Anthony
6Pfp47eUtnj2D1LMMtmDne,Don't Upset The Rhythm (Go Baby Go),43,228786,False,Wild Young Hearts,2009-01-01,album,0.691,0.876,6,-3.953,1,0.0378,0.013,0.00483,0.0655,0.658,120.272,4,Noisettes
4OL4l0rlwGZUohB1e09BF0,New in Town,30,199133,False,Hands (Standard DMD),2008-06-08,album,0.683,0.743,9,-5.775,0,0.0369,0.000308,0.517,0.0871,0.531,99.958,4,Little Boots
01mWFDRL40UlnbOXya5gqm,Waiting for Superman,40,267333,False,It's Not Over....The Hits So Far,2016-02-12,album,0.558,0.667,0,-6.041,1,0.0265,0.00276,0.0,0.0641,0.402,105.991,4,Daughtry
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,75,238733,False,Away From The Sun,2002-11-12,album,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,4,3 Doors Down
23t7gG7rKSddYrU3zaMv0S,Bilder von Dir,44,294893,False,Ich will nur wissen...,2000-05-04,album,0.679,0.776,9,-7.368,1,0.0425,0.0822,0.00379,0.288,0.0985,103.972,4,Laith Al-Deen
282SIASm97D9IcKIuOieRb,Perfekte Welle,0,199320,False,Es ist Juli,2004-01-01,album,0.669,0.636,1,-5.676,1,0.0307,0.00385,4.98e-05,0.142,0.341,112.1,4,Juli
2PxefLyJ3Fw7ZZlROnbpTp,Put It In a Love Song (feat. Beyoncé Knowles),44,195586,False,The Element Of Freedom,2009-12-15,album,0.634,0.689,8,-7.904,1,0.285,0.0793,0.0,0.296,0.653,184.87,4,"Alicia Keys, Beyoncé"
76TltGaTNoBoyS7LmRNCYA,She's So Lovely,1,223813,False,Scouting For Girls,2007-09-16,album,0.497,0.857,0,-3.313,1,0.0649,0.0622,0.0,0.0495,0.619,167.142,4,Scouting For Girls
3WbphvawbMZ8FyqDxYGdSQ,When I'm Gone,71,260333,False,Away From The Sun,2002-11-12,album,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,4,3 Doors Down
6tSabAItH133uW8eESz1TR,Living Darfur,0,252600,False,Rhythm & Hymns,2008-12-08,album,0.612,0.611,0,-5.811,1,0.0299,0.0707,0.0,0.11,0.374,99.995,4,Mattafix
